label_asli,prediksi_svm_hog,prediksi_svm_hsv,prediksi_cnn,benar_svm_hog,benar_svm_hsv,benar_cnn
kuning,putih,kuning,kuning,False,True,True
pink,pink,pink,pink,True,True,True
kuning,putih,kuning,kuning,False,True,True
pink,kuning,pink,ungu,False,True,False
putih,kuning,putih,putih,False,True,True
ungu,kuning,ungu,ungu,False,True,True
putih,putih,putih,putih,True,True,True
merah,putih,merah,orange,False,True,False
orange,orange,orange,orange,True,True,True
putih,putih,putih,putih,True,True,True
putih,putih,putih,putih,True,True,True
putih,putih,putih,putih,True,True,True
merah,merah,merah,putih,True,True,False
putih,putih,putih,putih,True,True,True
putih,pink,putih,putih,False,True,True
pink,pink,pink,ungu,True,True,False
putih,putih,putih,putih,True,True,True
ungu,ungu,ungu,ungu,True,True,True
pink,putih,pink,pink,False,True,True
kuning,kuning,kuning,kuning,True,True,True
merah,merah,merah,merah,True,True,True
merah,merah,merah,merah,True,True,True
kuning,putih,kuning,kuning,False,True,True
putih,putih,ungu,putih,True,False,True
kuning,putih,kuning,kuning,False,True,True
ungu,putih,ungu,ungu,False,True,True
kuning,kuning,kuning,kuning,True,True,True
ungu,ungu,ungu,ungu,True,True,True
putih,putih,putih,putih,True,True,True
putih,pink,putih,putih,False,True,True
putih,putih,putih,putih,True,True,True
merah,merah,merah,merah,True,True,True
pink,pink,pink,pink,True,True,True
putih,putih,putih,putih,True,True,True
pink,pink,pink,pink,True,True,True
kuning,kuning,kuning,kuning,True,True,True
putih,putih,putih,putih,True,True,True
pink,kuning,pink,putih,False,True,False
pink,putih,pink,pink,False,True,True
pink,pink,pink,pink,True,True,True
kuning,pink,kuning,kuning,False,True,True
kuning,putih,kuning,kuning,False,True,True
orange,orange,orange,orange,True,True,True
putih,putih,putih,putih,True,True,True
pink,putih,pink,pink,False,True,True
pink,putih,pink,pink,False,True,True
merah,kuning,merah,merah,False,True,True
pink,putih,pink,ungu,False,True,False
ungu,putih,ungu,ungu,False,True,True
merah,merah,merah,merah,True,True,True
pink,pink,pink,pink,True,True,True
putih,putih,putih,putih,True,True,True
ungu,putih,pink,ungu,False,False,True
putih,putih,putih,putih,True,True,True
orange,orange,orange,orange,True,True,True
pink,pink,pink,putih,True,True,False
merah,pink,merah,merah,False,True,True
merah,putih,ungu,orange,False,False,False
merah,merah,merah,merah,True,True,True
kuning,kuning,kuning,kuning,True,True,True
pink,pink,pink,pink,True,True,True
ungu,ungu,ungu,putih,True,True,False
kuning,putih,kuning,kuning,False,True,True
kuning,putih,kuning,kuning,False,True,True
putih,putih,putih,putih,True,True,True
pink,putih,pink,ungu,False,True,False
merah,putih,kuning,orange,False,False,False
pink,putih,kuning,pink,False,False,True
pink,putih,pink,pink,False,True,True
ungu,pink,ungu,ungu,False,True,True
orange,putih,kuning,orange,False,False,True
merah,putih,merah,putih,False,True,False
putih,pink,putih,putih,False,True,True
pink,putih,pink,pink,False,True,True
kuning,putih,kuning,kuning,False,True,True
putih,putih,putih,putih,True,True,True
ungu,putih,ungu,ungu,False,True,True
pink,putih,pink,pink,False,True,True
pink,pink,pink,pink,True,True,True
pink,putih,pink,pink,False,True,True
kuning,kuning,kuning,putih,True,True,False
putih,putih,putih,putih,True,True,True
pink,putih,pink,ungu,False,True,False
orange,pink,pink,orange,False,False,True
putih,putih,putih,putih,True,True,True
putih,putih,putih,putih,True,True,True
kuning,kuning,kuning,kuning,True,True,True
merah,merah,merah,putih,True,True,False
kuning,kuning,kuning,kuning,True,True,True
putih,putih,putih,putih,True,True,True
orange,orange,orange,orange,True,True,True
kuning,kuning,kuning,kuning,True,True,True
kuning,kuning,kuning,kuning,True,True,True
ungu,kuning,ungu,ungu,False,True,True
pink,pink,pink,pink,True,True,True
merah,pink,merah,merah,False,True,True
orange,orange,orange,orange,True,True,True
putih,putih,putih,putih,True,True,True
pink,putih,pink,pink,False,True,True
putih,putih,putih,putih,True,True,True
ungu,pink,ungu,ungu,False,True,True
putih,putih,putih,putih,True,True,True
pink,pink,pink,pink,True,True,True
putih,putih,putih,putih,True,True,True
ungu,putih,ungu,ungu,False,True,True
pink,pink,pink,pink,True,True,True
putih,putih,putih,putih,True,True,True
putih,putih,putih,putih,True,True,True
pink,pink,pink,ungu,True,True,False
orange,orange,orange,orange,True,True,True
putih,putih,putih,putih,True,True,True
putih,putih,putih,putih,True,True,True
kuning,kuning,kuning,kuning,True,True,True
biru,putih,biru,kuning,False,True,False
ungu,kuning,ungu,ungu,False,True,True
orange,putih,orange,orange,False,True,True
orange,putih,orange,orange,False,True,True
putih,putih,putih,putih,True,True,True
biru,putih,biru,putih,False,True,False
putih,putih,putih,putih,True,True,True
putih,putih,putih,putih,True,True,True
pink,pink,pink,putih,True,True,False
putih,putih,putih,putih,True,True,True
kuning,putih,kuning,kuning,False,True,True
ungu,ungu,ungu,ungu,True,True,True
putih,putih,putih,putih,True,True,True
putih,putih,putih,putih,True,True,True
putih,pink,putih,putih,False,True,True
kuning,kuning,kuning,kuning,True,True,True
merah,merah,merah,merah,True,True,True
kuning,putih,kuning,kuning,False,True,True
orange,orange,orange,orange,True,True,True
putih,putih,putih,putih,True,True,True
kuning,kuning,kuning,kuning,True,True,True
kuning,kuning,kuning,kuning,True,True,True
putih,putih,putih,putih,True,True,True
kuning,pink,kuning,kuning,False,True,True
putih,putih,putih,putih,True,True,True
ungu,kuning,ungu,ungu,False,True,True
kuning,putih,kuning,kuning,False,True,True
putih,pink,putih,putih,False,True,True
putih,putih,putih,putih,True,True,True
kuning,putih,kuning,kuning,False,True,True
merah,pink,merah,merah,False,True,True
pink,pink,pink,pink,True,True,True
putih,putih,putih,putih,True,True,True
