label_asli,prediksi_svm_hog_roi_hsv,prediksi_cnn,benar_svm_hog_roi_hsv,benar_cnn
kuning,kuning,orange,True,False
pink,pink,pink,True,True
kuning,kuning,orange,True,False
pink,pink,pink,True,True
putih,putih,putih,True,True
ungu,ungu,pink,True,False
putih,putih,putih,True,True
merah,merah,orange,True,False
orange,orange,orange,True,True
putih,putih,orange,True,False
putih,putih,orange,True,False
putih,putih,orange,True,False
merah,merah,pink,True,False
putih,putih,orange,True,False
putih,putih,orange,True,False
pink,pink,pink,True,True
putih,putih,putih,True,True
ungu,ungu,pink,True,False
pink,pink,pink,True,True
kuning,kuning,orange,True,False
merah,merah,orange,True,False
merah,merah,orange,True,False
kuning,kuning,orange,True,False
putih,ungu,pink,False,False
kuning,kuning,orange,True,False
ungu,ungu,pink,True,False
kuning,kuning,orange,True,False
ungu,ungu,pink,True,False
putih,putih,putih,True,True
putih,putih,orange,True,False
putih,putih,orange,True,False
merah,merah,orange,True,False
pink,pink,pink,True,True
putih,putih,orange,True,False
pink,pink,pink,True,True
kuning,kuning,orange,True,False
putih,putih,putih,True,True
pink,pink,pink,True,True
pink,pink,pink,True,True
pink,pink,pink,True,True
kuning,kuning,orange,True,False
kuning,kuning,orange,True,False
orange,orange,orange,True,True
putih,putih,orange,True,False
pink,pink,pink,True,True
pink,pink,pink,True,True
merah,merah,orange,True,False
pink,pink,pink,True,True
ungu,ungu,pink,True,False
merah,merah,merah,True,True
pink,pink,pink,True,True
putih,putih,pink,True,False
ungu,ungu,pink,True,False
putih,putih,orange,True,False
orange,orange,orange,True,True
pink,pink,pink,True,True
merah,merah,merah,True,True
merah,ungu,orange,False,False
merah,merah,orange,True,False
kuning,kuning,orange,True,False
pink,pink,pink,True,True
ungu,ungu,pink,True,False
kuning,kuning,orange,True,False
kuning,kuning,orange,True,False
putih,putih,putih,True,True
pink,pink,pink,True,True
merah,merah,orange,True,False
pink,pink,orange,True,False
pink,pink,pink,True,True
ungu,ungu,pink,True,False
orange,orange,orange,True,True
merah,pink,pink,False,False
putih,putih,pink,True,False
pink,pink,pink,True,True
kuning,kuning,orange,True,False
putih,putih,putih,True,True
ungu,ungu,pink,True,False
pink,pink,pink,True,True
pink,pink,pink,True,True
pink,pink,pink,True,True
kuning,kuning,pink,True,False
putih,putih,orange,True,False
pink,pink,pink,True,True
orange,pink,orange,False,True
putih,putih,orange,True,False
putih,putih,orange,True,False
kuning,kuning,orange,True,False
merah,merah,orange,True,False
kuning,kuning,orange,True,False
putih,putih,orange,True,False
orange,orange,orange,True,True
kuning,kuning,orange,True,False
kuning,kuning,orange,True,False
ungu,ungu,orange,True,False
pink,pink,pink,True,True
merah,merah,merah,True,True
orange,orange,orange,True,True
putih,putih,pink,True,False
pink,pink,pink,True,True
putih,putih,putih,True,True
ungu,ungu,pink,True,False
putih,putih,putih,True,True
pink,pink,pink,True,True
putih,putih,pink,True,False
ungu,ungu,pink,True,False
pink,pink,pink,True,True
putih,putih,putih,True,True
putih,putih,pink,True,False
pink,pink,pink,True,True
orange,orange,orange,True,True
putih,putih,pink,True,False
putih,putih,putih,True,True
kuning,kuning,orange,True,False
biru,biru,orange,True,False
ungu,ungu,orange,True,False
orange,orange,orange,True,True
orange,orange,orange,True,True
putih,putih,orange,True,False
biru,biru,pink,True,False
putih,putih,putih,True,True
putih,putih,orange,True,False
pink,pink,pink,True,True
putih,putih,putih,True,True
kuning,kuning,orange,True,False
ungu,ungu,pink,True,False
putih,putih,pink,True,False
putih,putih,pink,True,False
putih,putih,putih,True,True
kuning,kuning,orange,True,False
merah,merah,merah,True,True
kuning,putih,orange,False,False
orange,orange,orange,True,True
putih,putih,putih,True,True
kuning,kuning,orange,True,False
kuning,kuning,orange,True,False
putih,putih,putih,True,True
kuning,kuning,orange,True,False
putih,putih,putih,True,True
ungu,ungu,pink,True,False
kuning,kuning,orange,True,False
putih,putih,orange,True,False
putih,putih,putih,True,True
kuning,kuning,orange,True,False
merah,merah,orange,True,False
pink,pink,pink,True,True
putih,putih,orange,True,False
