label_asli,prediksi_svm,prediksi_cnn,benar_svm,benar_cnn
kuning,putih,kuning,False,True
pink,putih,pink,False,True
kuning,kuning,kuning,True,True
pink,putih,merah,False,False
putih,putih,putih,True,True
ungu,putih,putih,False,False
putih,putih,putih,True,True
merah,pink,merah,False,True
orange,putih,orange,False,True
putih,putih,putih,True,True
putih,putih,putih,True,True
putih,putih,putih,True,True
merah,putih,merah,False,True
putih,putih,putih,True,True
putih,putih,putih,True,True
pink,pink,pink,True,True
putih,putih,putih,True,True
ungu,ungu,putih,True,False
pink,putih,pink,False,True
kuning,putih,kuning,False,True
merah,kuning,merah,False,True
merah,putih,merah,False,True
kuning,kuning,kuning,True,True
putih,putih,putih,True,True
kuning,kuning,putih,True,False
ungu,putih,putih,False,False
kuning,kuning,kuning,True,True
ungu,putih,putih,False,False
putih,putih,putih,True,True
putih,putih,putih,True,True
putih,putih,putih,True,True
merah,pink,merah,False,True
pink,pink,pink,True,True
putih,putih,putih,True,True
pink,pink,pink,True,True
kuning,pink,kuning,False,True
putih,putih,putih,True,True
pink,putih,merah,False,False
pink,pink,pink,True,True
pink,putih,pink,False,True
kuning,putih,kuning,False,True
kuning,putih,kuning,False,True
orange,orange,orange,True,True
putih,putih,putih,True,True
pink,pink,merah,True,False
pink,putih,pink,False,True
merah,merah,merah,True,True
pink,pink,pink,True,True
ungu,pink,pink,False,False
merah,pink,merah,False,True
pink,putih,merah,False,False
putih,putih,putih,True,True
ungu,ungu,putih,True,False
putih,putih,putih,True,True
orange,putih,orange,False,True
pink,pink,merah,True,False
merah,merah,merah,True,True
merah,putih,merah,False,True
merah,merah,merah,True,True
kuning,putih,kuning,False,True
pink,pink,pink,True,True
ungu,putih,putih,False,False
kuning,putih,kuning,False,True
kuning,kuning,kuning,True,True
putih,putih,putih,True,True
pink,putih,pink,False,True
merah,merah,merah,True,True
pink,putih,pink,False,True
pink,pink,pink,True,True
ungu,ungu,ungu,True,True
orange,orange,kuning,True,False
merah,putih,merah,False,True
putih,putih,putih,True,True
pink,pink,pink,True,True
kuning,kuning,kuning,True,True
putih,putih,putih,True,True
ungu,ungu,kuning,True,False
pink,putih,pink,False,True
pink,putih,pink,False,True
pink,pink,pink,True,True
kuning,kuning,kuning,True,True
putih,putih,putih,True,True
pink,pink,pink,True,True
orange,orange,orange,True,True
putih,putih,putih,True,True
putih,putih,putih,True,True
kuning,putih,kuning,False,True
merah,putih,merah,False,True
kuning,putih,kuning,False,True
putih,putih,putih,True,True
orange,orange,orange,True,True
kuning,putih,kuning,False,True
kuning,pink,kuning,False,True
ungu,putih,ungu,False,True
pink,putih,pink,False,True
merah,putih,kuning,False,False
orange,orange,orange,True,True
putih,putih,putih,True,True
pink,pink,pink,True,True
putih,putih,putih,True,True
ungu,ungu,putih,True,False
putih,putih,putih,True,True
pink,putih,pink,False,True
putih,putih,putih,True,True
ungu,putih,putih,False,False
pink,pink,pink,True,True
putih,putih,putih,True,True
putih,putih,putih,True,True
pink,pink,putih,True,False
orange,orange,orange,True,True
putih,putih,putih,True,True
putih,putih,putih,True,True
kuning,kuning,kuning,True,True
biru,kuning,biru,False,True
ungu,kuning,ungu,False,True
orange,orange,orange,True,True
orange,orange,orange,True,True
putih,putih,putih,True,True
biru,putih,kuning,False,False
putih,putih,putih,True,True
putih,putih,putih,True,True
pink,putih,pink,False,True
putih,putih,putih,True,True
kuning,kuning,kuning,True,True
ungu,orange,putih,False,False
putih,pink,putih,False,True
putih,putih,putih,True,True
putih,putih,putih,True,True
kuning,putih,kuning,False,True
merah,merah,merah,True,True
kuning,putih,kuning,False,True
orange,putih,orange,False,True
putih,putih,putih,True,True
kuning,pink,kuning,False,True
kuning,putih,kuning,False,True
putih,putih,putih,True,True
kuning,kuning,kuning,True,True
putih,putih,putih,True,True
ungu,putih,putih,False,False
kuning,kuning,kuning,True,True
putih,putih,putih,True,True
putih,putih,putih,True,True
kuning,putih,kuning,False,True
merah,merah,merah,True,True
pink,putih,pink,False,True
putih,putih,putih,True,True
